rsi,vol,depth,mom,trend,ex_3,ex_6,ex_10
52.7770,1.3581,0.0881,1.0000,-0.1314,-2.208843529104533,0.021559275520474847,0.5577853652413631
54.1310,1.1824,0.2115,1.0000,0.6681,0.541394335319266,0.12956377221884105,2.060344245356975
42.1264,0.7539,0.9074,1.0000,-2.8402,0.7777760961261134,-0.44092790789601854,0.23273568963151778
50.4358,0.9881,0.5201,1.0000,-1.2269,-2.8515773908100575,-3.0944657396289514,-2.340837973042627
57.0690,2.5415,0.5499,1.0000,0.7998,-3.359264237524763,-3.441555556099854,-3.3638346242768917
49.2724,1.5029,0.4775,0.3432,-0.9121,-0.2618291396558795,-0.12529237572318755,-2.8640631671987675
52.3674,1.7686,0.6445,1.0000,-0.6302,0.8157923320328039,1.8813680786590377,0.7531142024455748
51.6836,0.9719,0.6881,1.0000,-1.2507,-0.1650434746640298,-0.13070428476156506,0.6800052869946824
44.6997,1.0960,1.1648,1.0000,-2.9719,-0.5494886167708227,-0.9157823091441556,1.516799565164044
57.1688,0.8510,0.1881,1.0000,0.5782,0.8281949457574641,0.870094537017427,2.3858147934723335
56.4225,0.5670,0.2679,1.0000,0.1787,-0.1682764702570353,-1.1307317426189538,-5.54068919164878
43.4572,1.8433,1.0832,1.0000,-2.7151,0.459408637085544,0.2408262543567715,1.283703884008007
41.4793,1.2332,1.3495,1.0000,-3.6776,0.160604335203672,-0.25829630207922205,2.29452711779841
46.1816,1.0975,0.6568,1.0000,-1.8295,-0.9514821291931389,-0.27743387429469946,-1.0502486840501326
42.5129,1.5890,0.6645,-0.6383,-2.4348,-1.1406020533115582,-0.49207726677172026,2.0060937481688286
45.4385,1.3656,0.6067,0.7923,-1.9896,0.047717686690416886,3.2485539940597414,2.9704431249030034
49.3737,1.3335,1.4780,1.0000,-2.1340,-0.4154089397544928,0.023183994005046754,0.31476816936402563
48.1447,0.8112,0.4445,1.0000,-0.9061,-1.4059509744066452,-3.517467593421002,-3.7070237574773017
45.5366,0.8874,1.2840,1.0000,-2.5115,1.6839490339285328,6.5730359438933865,6.042456307419197
49.7880,1.2468,0.5687,1.0000,-0.7848,0.6875259851998431,1.4625117285684899,4.384321294201564
55.1855,0.8279,0.0384,1.0000,0.3321,0.26581695716253384,-0.18748741792658374,-2.5055739240373858
57.6834,1.1842,0.1982,1.0000,0.8533,1.5386608769752168,1.9962473586584941,1.995321940836225
54.4134,3.4176,0.1099,1.0000,0.5118,-10.702491208360843,-12.006572136390906,-10.04546905599042
34.6435,1.7152,2.6974,1.0000,-7.8342,-0.8957383422771644,-0.6028799877653632,-1.706016154424728
29.5392,2.0561,2.5643,1.0000,-8.0048,0.16553108180811163,1.0636150114066003,-0.10516976132777289
40.2335,1.1580,1.8211,1.0000,-4.4757,0.552365901333484,2.8460017757158855,0.9329141271884773
47.2202,0.9798,0.3333,1.0000,-0.8449,0.828540834278401,0.21661605751060597,-2.355929496158227
52.4730,0.6435,0.2863,1.0000,0.0618,-0.6051406600291028,-3.360578568027721,-7.136804832165112
44.6278,1.0850,1.6366,1.0000,-3.2371,0.05565451998020757,-0.05525444737372465,-1.56822755418814
42.8473,1.0812,0.9959,-0.8924,-3.5796,-0.044496671934547066,7.333983525989603,9.283025515632715
49.5672,0.5075,0.4377,1.0000,-0.9407,2.1256975720609463,3.1829464288464298,4.618387891419461
53.3431,1.1194,1.2236,1.0000,-1.4487,0.5126829312503848,1.417320644602056,0.8673306949942057
60.2746,0.4943,0.1171,1.0000,1.9166,-0.9672354072779562,0.1596873461311501,0.4484691522552038
63.8360,5.1567,0.2203,1.0000,2.9328,-0.4440799731846198,-3.6086469441601032,-2.048003858048975
47.0897,0.7201,0.6121,1.0000,-1.2799,-0.6577730450874516,0.8839337584464049,-0.17231996599669275
44.6694,1.0504,0.4256,1.0000,-1.6420,0.36565009977510476,0.9441017332031245,2.5986595680757225
29.9117,0.6556,2.3276,1.0000,-7.2097,0.7940137669127371,-0.912258720264074,-2.361773211623131
37.0011,2.0470,2.6571,1.0000,-6.8021,-0.33382035010816125,-7.513539513330884,-5.458260831731755
36.7528,2.0208,2.8511,1.0000,-7.6360,0.5524618863599443,-1.22824394543916,1.7075092493333606
44.2280,1.2565,2.6113,1.0000,-6.1619,0.4060628032196082,-0.9358755896091961,-0.8949295013065188
40.9671,0.9828,1.5710,1.0000,-4.1988,1.9963071508391044,2.82718294527909,2.4424723236735386
38.4148,1.1369,1.9876,1.0000,-5.4209,0.5969712422656418,2.745880274870512,0.8778048406529844
41.0097,1.0626,1.0505,-0.7024,-3.6107,-2.7437843511550106,-8.282243143166783,-11.16391193997015
37.8265,1.5781,3.9022,1.0000,-8.8587,0.4548796258195035,1.6095149781356468,5.416280674158379
39.0215,1.1882,1.5171,1.0000,-4.2050,-0.19787716302015554,-1.5703438584020166,-2.631152481408961
48.9714,1.8674,1.1736,0.4865,-2.8711,3.007897132969394,0.861691409749217,2.310867319228715
61.5890,1.0613,0.2253,1.0000,3.4533,-0.6453954589822682,-1.204790695747686,1.3894044788704814
